"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","extendedStats","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",1,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009856.png?im=Scale,width=0.6,height=0.6","INT","CD_I1009856",FALSE,1,"Grace","Egan","CD_T8096",NA,72,0,0,NA,7,14,21,3,0,3,6,16,22,2,0,0,0,0,66.7,6,1,2,65,1,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",4,0,0,0,NA,NA,NA,3,178,NA,0,0,0,"CD_I1009856",FALSE,1,"Grace","Egan","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",25,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1005278.png?im=Scale,width=0.6,height=0.6","INT","CD_I1005278",FALSE,25,"Jessica","Edwards","CD_T8096",NA,62,0,0,NA,4,4,8,3,0,2,4,4,8,0,0,0,0,1,75,5,1,2,32,0,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",2,2,0,0,NA,NA,NA,4,89,NA,0,0,0,"CD_I1005278",FALSE,25,"Jessica","Edwards","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",13,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009865.png?im=Scale,width=0.6,height=0.6","INT","CD_I1009865",FALSE,13,"Lucy","McEvoy","CD_T8096",NA,53,1,0,NA,6,8,14,1,0,2,7,7,14,2,0,0,0,1,78.6,2,0,0,51,0,1,100,NA,NA,"2021-02-24T04:00:45.147+0000",2,3,0,1,NA,NA,NA,5,105,NA,3,0,3,"CD_I1009865",FALSE,13,"Lucy","McEvoy","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",3,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/997663.png?im=Scale,width=0.6,height=0.6","FF","CD_I997663",FALSE,3,"Darcy","Vescio","CD_T8096",NA,90,3,2,NA,8,1,9,6,0,1,5,5,10,0,4,2,0,0,66.7,1,1,1,66,0,0,60,NA,NA,"2021-02-24T04:00:45.147+0000",1,1,0,5,NA,NA,NA,5,178,NA,0,0,0,"CD_I997663",FALSE,3,"Darcy","Vescio","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",18,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009888.png?im=Scale,width=0.6,height=0.6","INT","CD_I1009888",FALSE,18,"Madeline","Guerin","CD_T8096",NA,80,0,0,NA,11,2,13,6,0,0,5,9,14,2,0,1,0,1,53.8,1,0,0,55,1,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",3,5,0,0,NA,NA,NA,4,262,NA,0,0,0,"CD_I1009888",FALSE,18,"Madeline","Guerin","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",6,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007026.png?im=Scale,width=0.6,height=0.6","FB","CD_I1007026",FALSE,6,"Gabriella","Pound","CD_T8096",NA,74,0,0,NA,8,2,10,2,1,2,2,7,9,0,0,1,0,1,90,0,0,0,42,4,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",1,2,0,0,NA,NA,NA,1,103,NA,0,0,0,"CD_I1007026",FALSE,6,"Gabriella","Pound","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",16,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007023.png?im=Scale,width=0.6,height=0.6","RK","CD_I1007023",FALSE,16,"Breann","Moody","CD_T8096",NA,74,0,0,NA,5,3,8,2,0,4,1,7,8,1,0,0,21,5,37.5,3,0,1,61,0,1,0,NA,NA,"2021-02-24T04:00:45.147+0000",4,1,0,0,NA,NA,NA,3,122,NA,1,1,2,"CD_I1007023",FALSE,16,"Breann","Moody","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",5,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1013027.png?im=Scale,width=0.6,height=0.6","HBFR","CD_I1013027",FALSE,5,"Abbie","McKay","CD_T8096",NA,69,0,0,NA,5,8,13,2,0,4,7,8,15,3,0,0,0,1,69.2,5,0,4,41,0,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",3,3,1,0,NA,NA,NA,1,53,NA,0,0,0,"CD_I1013027",FALSE,5,"Abbie","McKay","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",30,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007003.png?im=Scale,width=0.6,height=0.6","INT","CD_I1007003",FALSE,30,"Alison","Downie","CD_T8096",NA,50,0,0,NA,1,2,3,2,0,2,2,1,3,0,0,1,4,1,66.7,0,0,0,25,0,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",0,1,0,0,NA,NA,NA,1,13,NA,0,0,0,"CD_I1007003",FALSE,30,"Alison","Downie","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/998039.png?im=Scale,width=0.6,height=0.6","FPR","CD_I998039",FALSE,7,"Tayla","Harris","CD_T8096",NA,79,1,0,NA,5,2,7,4,0,0,3,4,7,1,2,1,1,0,57.1,2,0,0,38,0,1,100,NA,NA,"2021-02-24T04:00:45.147+0000",2,0,0,1,NA,NA,NA,3,104,NA,0,0,0,"CD_I998039",FALSE,7,"Tayla","Harris","home","Carlton"
